RIDGE,PUB,CRACK,WEIGHT,DENSITY,binaryClass
-2.0346,-4.0578,2.0495,6.8182,-1.3542,0
-3.9404,6.103,2.5332,3.7763,1.3644,0
4.3995,2.4195,6.8592,-7.6367,-1.816,0
4.3384,2.578,-0.1903,-2.7612,-2.4202,0
-2.2377,-3.4564,-9.4237,-0.3067,2.7364,0
-14.1873,2.4583,-6.0792,14.4717,9.4198,0
0.0718,-8.9749,-18.2317,-2.4883,-1.6781,0
-1.6624,9.044,-9.4559,-5.6456,7.6439,0
-8.4979,-2.7449,9.9864,7.8915,1.9971,0
-7.8081,1.3102,10.4954,9.103,2.6439,0
1.2403,-4.8392,-8.9442,2.2778,-1.6802,0
-1.6976,-1.5063,-6.3446,0.1172,2.0668,0
0.4015,5.1957,-0.2256,2.642,-1.4473,0
5.4076,1.2174,3.1281,-10.1254,-0.0374,0
8.9409,0.1099,-4.3657,-9.7542,-4.0819,0
6.152,0.2061,0.3589,-4.1781,-3.3574,0
-6.9722,-7.1804,0.8744,11.8377,-0.7306,0
-1.8231,-4.6366,-6.5316,5.7564,0.8129,0
-0.8594,9.5613,-3.1252,1.5782,3.4995,0
-5.2819,-7.5413,-3.8192,5.4065,0.9088,0
11.1908,8.3834,4.7462,-17.1873,2.216,0
